timestamp;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3;hour;day_of_week;load_lag_1;load_roll_3
2007-01-01 00:00:00;2.5506333333333333;0.1128;241.3613333333333;10.53;0.0;0.5833333333333334;0.0;0;0;;
2007-01-01 01:00:00;2.5234;0.0716333333333333;241.0965;10.443333333333332;0.0;0.0;0.0;1;0;2.5506333333333333;
2007-01-01 02:00:00;2.582333333333333;0.1066666666666666;243.20016666666663;10.54;0.0;0.3333333333333333;0.0;2;0;2.5234;2.552122222222222
2007-01-01 03:00:00;2.5416666666666665;0.0901;243.26566666666668;10.4;0.0;0.2666666666666666;0.0;3;0;2.582333333333333;2.5491333333333333
2007-01-01 04:00:00;2.4757333333333333;0.0881666666666666;242.4561666666667;10.11;0.0;0.0;0.0;4;0;2.5416666666666665;2.533244444444444
2007-01-01 05:00:00;2.476233333333333;0.1016666666666666;242.34866666666667;10.15;0.0;0.5833333333333334;0.0;5;0;2.4757333333333333;2.4978777777777776
2007-01-01 06:00:00;2.4558000000000004;0.0861333333333333;241.2218333333333;10.103333333333332;0.0;0.0;0.0;6;0;2.476233333333333;2.469255555555556
2007-01-01 07:00:00;2.4472;0.1068666666666666;240.3141666666667;10.12;0.0;0.55;0.0;7;0;2.4558000000000004;2.4597444444444445
2007-01-01 08:00:00;2.441733333333333;0.0781;241.14316666666667;10.046666666666663;0.0;0.05;0.0;8;0;2.4472;2.4482444444444447
2007-01-01 09:00:00;3.146133333333333;0.0676;239.77883333333327;13.053333333333333;0.0;0.0;12.033333333333331;9;0;2.441733333333333;2.678355555555555
2007-01-01 10:00:00;2.6617333333333333;0.1102666666666666;238.42516666666668;11.103333333333332;0.0;0.5833333333333334;2.4833333333333334;10;0;3.146133333333333;2.7498666666666662
2007-01-01 11:00:00;2.576;0.0711666666666666;237.3245;10.793333333333331;0.0;0.0;0.0;11;0;2.6617333333333333;2.794622222222222
2007-01-01 12:00:00;2.615866666666667;0.1208333333333333;237.758;10.936666666666667;0.0;0.5666666666666667;0.0;12;0;2.576;2.6178666666666666
2007-01-01 13:00:00;2.1624;0.0672333333333333;238.6695;9.036666666666669;0.0;0.0;0.0;13;0;2.615866666666667;2.4514222222222224
2007-01-01 14:00:00;1.2944;0.2412333333333333;240.65666666666667;5.61;0.0;0.2333333333333333;9.05;14;0;2.1624;2.0242222222222224
2007-01-01 15:00:00;1.909166666666667;0.1108666666666666;238.91516666666664;7.930000000000001;0.0;0.35;17.483333333333334;15;0;1.2944;1.7886555555555557
2007-01-01 16:00:00;1.3901;0.1106333333333333;239.3875;5.746666666666667;0.0;0.0;17.55;16;0;1.909166666666667;1.5312222222222225
2007-01-01 17:00:00;1.6320666666666668;0.1295;237.47633333333332;6.833333333333333;0.0;0.5833333333333334;17.283333333333335;17;0;1.3901;1.643777777777778
2007-01-01 18:00:00;1.4619;0.0692;238.33633333333333;6.04;0.0;0.0;17.4;18;0;1.6320666666666668;1.494688888888889
2007-01-01 19:00:00;0.7323000000000001;0.1271666666666666;237.758;3.0866666666666664;0.0;0.4666666666666667;4.716666666666667;19;0;1.4619;1.2754222222222222
2007-01-01 20:00:00;0.4123;0.0711333333333333;237.82683333333333;1.7166666666666666;0.0;0.1166666666666666;0.0;20;0;0.7323000000000001;0.8688333333333335
2007-01-01 21:00:00;0.4339333333333333;0.1006;239.42316666666665;1.83;0.0;0.0;0.0;21;0;0.4123;0.5261777777777777
